playedAt,albumID,albumName,albumReleaseDate,durationMs,trackID,trackName,trackPopularity,artistID,artistName,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genres,artistPopularity,followers,trackHashID,hashID
2022-06-28 07:58:16.719000-04:00,3ycjBixZf7S3WpC5WZhhUK,Led Zeppelin,1969-01-12,282426,62QInSlXQI11BR9ycVWjd6,I Can't Quit You Baby - 1990 Remaster,53,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,0.506,0.434,2,-13.758,1,0.129,0.525,0.0011,0.234,0.498,80.523,3,"['album rock', 'classic rock', 'hard rock', 'rock']",75,12299901,2022062807581662QInSlXQI11BR9ycVWjd6,2022062807581662QInSlXQI11BR9ycVWjd636QJpDe2go2KgaRleHCDTp
2022-06-28 07:53:33.195000-04:00,44Ig8dzqOkvkGDzaUof9lK,Led Zeppelin IV (Deluxe Edition),1971-11-08,220560,4PRGxHpCpF2yoOHYKQIEwD,Rock and Roll - Remaster,70,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,0.317,0.887,9,-7.292,1,0.0375,0.000582,0.00258,0.0891,0.871,169.613,4,"['album rock', 'classic rock', 'hard rock', 'rock']",75,12299901,202206280753334PRGxHpCpF2yoOHYKQIEwD,202206280753334PRGxHpCpF2yoOHYKQIEwD36QJpDe2go2KgaRleHCDTp
2022-06-28 07:49:52.323000-04:00,6P5QHz4XtxOmS5EuiGIPut,Led Zeppelin III (Remaster),1970,146250,78lgmZwycJ3nzsdgmPPGNx,Immigrant Song - Remaster,78,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,0.564,0.932,11,-10.068,1,0.0554,0.013,0.169,0.349,0.619,112.937,4,"['album rock', 'classic rock', 'hard rock', 'rock']",75,12299901,2022062807495278lgmZwycJ3nzsdgmPPGNx,2022062807495278lgmZwycJ3nzsdgmPPGNx36QJpDe2go2KgaRleHCDTp
2022-06-27 22:36:28.607000-04:00,0X7S0TEZ5NJsSxmyTnfYi2,O My Heart,2008-09-23,211453,5CXqYKQgAy2U1p8JeyLgwo,O My Heart,55,0e86yPdC41PGRkLp2Q1Bph,Mother Mother,0.714,0.858,6,-5.035,1,0.0471,0.0333,0.0247,0.0468,0.603,146.025,4,"['indie pop', 'vancouver indie']",73,2876746,202206272236285CXqYKQgAy2U1p8JeyLgwo,202206272236285CXqYKQgAy2U1p8JeyLgwo0e86yPdC41PGRkLp2Q1Bph
2022-06-27 18:44:34.027000-04:00,731Q7pBo9WEQyM52gUe0kJ,Tower Of Power,1973-05-01,304733,66TSoVnJ1P9Tyok03zUlTr,What Is Hip?,54,0JCxGVxsISZzJHJPUOtceB,Tower Of Power,0.666,0.733,9,-5.884,1,0.0563,0.138,0.000349,0.0892,0.597,101.858,4,"['funk', 'jazz funk', 'jazz fusion', 'modern funk', 'soul']",47,261812,2022062718443466TSoVnJ1P9Tyok03zUlTr,2022062718443466TSoVnJ1P9Tyok03zUlTr0JCxGVxsISZzJHJPUOtceB
2022-06-27 18:34:23.727000-04:00,07w0hGS9XUdFsPBvDHy16y,The Sickness (10th Anniversary Edition),2010-03-12,278706,4ImIJRZNJhNQLLdUFSYJoS,Down with the Sickness,66,3TOqt5oJwL9BE2NG9MEwDa,Disturbed,0.649,0.896,10,-2.704,0,0.056,0.000319,1.19e-05,0.102,0.924,90.009,4,"['alternative metal', 'nu metal', 'rap metal']",71,5531709,202206271834234ImIJRZNJhNQLLdUFSYJoS,202206271834234ImIJRZNJhNQLLdUFSYJoS3TOqt5oJwL9BE2NG9MEwDa
2022-06-27 18:29:44.652000-04:00,7vHBQDqwzB7uDvoE5bncMM,Drunk,2017-02-24,119760,2YzOFeQ8ZtgZG6pHDXPMQi,Blackkk,40,4frXpPxQQZwbCu3eTGnZEw,Thundercat,0.587,0.722,2,-10.216,1,0.0339,0.356,0.541,0.242,0.821,92.522,5,['afrofuturism'],67,924171,202206271829442YzOFeQ8ZtgZG6pHDXPMQi,202206271829442YzOFeQ8ZtgZG6pHDXPMQi4frXpPxQQZwbCu3eTGnZEw
2022-06-27 18:27:44.005000-04:00,5v4Vx9loqMQCS3J7OmP9pa,The Rising Tied,2005-11-21,231866,7pAT4dOUzjq8Ziap5ShIqC,Where'd You Go (feat. Holly Brook & Jonah Matranga),65,7dWYWUbO68rXJOcyA7SpJk,Fort Minor,0.684,0.819,1,-3.309,0,0.238,0.262,0.00197,0.113,0.25,179.999,4,"['pop rap', 'rap rock']",60,555516,202206271827447pAT4dOUzjq8Ziap5ShIqC,202206271827447pAT4dOUzjq8Ziap5ShIqC7dWYWUbO68rXJOcyA7SpJk
2022-06-27 18:27:44.005000-04:00,5v4Vx9loqMQCS3J7OmP9pa,The Rising Tied,2005-11-21,231866,7pAT4dOUzjq8Ziap5ShIqC,Where'd You Go (feat. Holly Brook & Jonah Matranga),65,62gL3RAdJAPUmjrYudnVjy,Holly Brook,0.684,0.819,1,-3.309,0,0.238,0.262,0.00197,0.113,0.25,179.999,4,"['acoustic pop', 'lilith']",47,15605,202206271827447pAT4dOUzjq8Ziap5ShIqC,202206271827447pAT4dOUzjq8Ziap5ShIqC62gL3RAdJAPUmjrYudnVjy
2022-06-27 18:27:44.005000-04:00,5v4Vx9loqMQCS3J7OmP9pa,The Rising Tied,2005-11-21,231866,7pAT4dOUzjq8Ziap5ShIqC,Where'd You Go (feat. Holly Brook & Jonah Matranga),65,3Ztgr9y1L9ZfoIOEsCrZEb,Jonah Matranga,0.684,0.819,1,-3.309,0,0.238,0.262,0.00197,0.113,0.25,179.999,4,[],48,3849,202206271827447pAT4dOUzjq8Ziap5ShIqC,202206271827447pAT4dOUzjq8Ziap5ShIqC3Ztgr9y1L9ZfoIOEsCrZEb
2022-06-27 18:22:25.492000-04:00,5dpaxVXET01VAgivwwUac6,SZNZ: Spring,2022-03-20,164492,0JW1mKemtn6krfNC2rXhec,A Little Bit of Love,56,3jOstUTkEu2JkjvRdBA5Gu,Weezer,0.586,0.824,2,-6.102,1,0.0264,0.0149,0.0,0.15,0.302,92.332,4,"['alternative rock', 'modern power pop', 'modern rock', 'permanent wave', 'rock']",73,2753586,202206271822250JW1mKemtn6krfNC2rXhec,202206271822250JW1mKemtn6krfNC2rXhec3jOstUTkEu2JkjvRdBA5Gu
2022-06-27 18:19:40.589000-04:00,6X1x82kppWZmDzlXXK3y3q,Take Care (Deluxe),2011-11-15,150960,1ZyudLFv35SRvY5SvTZqJx,Buried Alive Interlude,57,3TVXtAsR1Inumwj472S9r4,Drake,0.711,0.543,0,-12.692,1,0.112,0.412,0.0,0.505,0.801,102.01,4,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",95,64549653,202206271819401ZyudLFv35SRvY5SvTZqJx,202206271819401ZyudLFv35SRvY5SvTZqJx3TVXtAsR1Inumwj472S9r4
2022-06-27 18:19:40.589000-04:00,6X1x82kppWZmDzlXXK3y3q,Take Care (Deluxe),2011-11-15,150960,1ZyudLFv35SRvY5SvTZqJx,Buried Alive Interlude,57,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,0.711,0.543,0,-12.692,1,0.112,0.412,0.0,0.505,0.801,102.01,4,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",90,20758231,202206271819401ZyudLFv35SRvY5SvTZqJx,202206271819401ZyudLFv35SRvY5SvTZqJx2YZyLoL8N0Wb9xBt1NhZWg
2022-06-29 11:15:17.636000-04:00,1AL5oXZRtTc8PyhcTwg4xQ,Texas Flood (Legacy Edition),1983,219586,1a2iF9XymafjRk56q7oCxo,Pride and Joy,66,5fsDcuclIe8ZiBD5P787K1,Stevie Ray Vaughan,0.427,0.626,8,-11.821,1,0.0385,0.0274,0.00395,0.106,0.743,126.877,4,"['album rock', 'blues', 'blues rock', 'classic rock', 'electric blues', 'instrumental rock', 'rock', 'texas blues']",60,2126888,202206291115171a2iF9XymafjRk56q7oCxo,202206291115171a2iF9XymafjRk56q7oCxo5fsDcuclIe8ZiBD5P787K1
2022-06-29 11:11:38.219000-04:00,3ycjBixZf7S3WpC5WZhhUK,Led Zeppelin,1969-01-12,166266,0QwZfbw26QeUoIy82Z2jYp,Good Times Bad Times - 1993 Remaster,68,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,0.476,0.717,9,-9.192,1,0.0949,0.0382,7.61e-05,0.0818,0.753,93.584,4,"['album rock', 'classic rock', 'hard rock', 'rock']",75,12303631,202206291111380QwZfbw26QeUoIy82Z2jYp,202206291111380QwZfbw26QeUoIy82Z2jYp36QJpDe2go2KgaRleHCDTp
2022-06-28 16:51:47.616000-04:00,1W5CtQ7Ng0kP3lXyz7PIT2,In Through the out Door (Remaster),1979-08-15,370920,3i25w2HOWoafnTIiWJCL71,Fool in the Rain - Remaster,64,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,0.52,0.912,0,-7.512,1,0.0487,0.124,0.00151,0.239,0.702,131.403,4,"['album rock', 'classic rock', 'hard rock', 'rock']",75,12303631,202206281651473i25w2HOWoafnTIiWJCL71,202206281651473i25w2HOWoafnTIiWJCL7136QJpDe2go2KgaRleHCDTp
2022-06-28 08:14:56.907000-04:00,70lQYZtypdCALtFVlQAcvx,Led Zeppelin II (1994 Remaster),1969-10-22,333893,0hCB0YR03f6AmQaHbwWDe8,Whole Lotta Love - 1990 Remaster,77,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,0.412,0.902,9,-11.6,1,0.405,0.0484,0.131,0.405,0.422,89.74,4,"['album rock', 'classic rock', 'hard rock', 'rock']",75,12303631,202206280814560hCB0YR03f6AmQaHbwWDe8,202206280814560hCB0YR03f6AmQaHbwWDe836QJpDe2go2KgaRleHCDTp
2022-06-29 11:08:51.407000-04:00,5B4PYA7wNN4WdEXdIJu58a,Ten,1991-08-27,292580,6QewNVIDKdSl8Y3ycuHIei,Even Flow,76,1w5Kfo2jwwIPruYS2UWh56,Pearl Jam,0.394,0.944,10,-6.506,0,0.0761,0.00178,4.54e-06,0.298,0.265,105.338,4,"['grunge', 'permanent wave', 'rock']",73,7577979,202206291108516QewNVIDKdSl8Y3ycuHIei,202206291108516QewNVIDKdSl8Y3ycuHIei1w5Kfo2jwwIPruYS2UWh56
2022-06-29 11:03:58.410000-04:00,6DExt1eX4lflLacVjHHbOs,Pronounced' Leh-'Nerd 'Skin-'Nerd,1973-01-01,547106,5EWPGh7jbTNO2wakv8LjUI,Free Bird,77,4MVyzYMgTwdP7Z49wAZHx0,Lynyrd Skynyrd,0.249,0.834,0,-8.21,1,0.0577,0.0738,9.48e-05,0.0924,0.338,118.223,4,"['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'southern rock']",71,4115372,202206291103585EWPGh7jbTNO2wakv8LjUI,202206291103585EWPGh7jbTNO2wakv8LjUI4MVyzYMgTwdP7Z49wAZHx0
2022-06-28 17:04:39.114000-04:00,54V1ljNtyzAm053oJqi0SH,Second Helping,1974-04-15,291735,6PPhp1qpAjLUxQr75vSD4H,The Ballad Of Curtis Loew,63,4MVyzYMgTwdP7Z49wAZHx0,Lynyrd Skynyrd,0.432,0.425,9,-12.165,1,0.0918,0.312,3.19e-06,0.105,0.589,144.821,4,"['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'southern rock']",71,4115372,202206281704396PPhp1qpAjLUxQr75vSD4H,202206281704396PPhp1qpAjLUxQr75vSD4H4MVyzYMgTwdP7Z49wAZHx0
2022-06-29 10:54:50.899000-04:00,55fq75UfkYbGMq4CncCtOH,Metallica (Remastered),1991-08-12,388733,2CtemffYhT0DJWcT1XW047,Nothing Else Matters (Remastered),70,2ye2Wgw4gimLv2eAKyk1NB,Metallica,0.547,0.394,4,-9.793,0,0.0262,0.0522,6.4e-06,0.0795,0.17,142.37,3,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",79,21590412,202206291054502CtemffYhT0DJWcT1XW047,202206291054502CtemffYhT0DJWcT1XW0472ye2Wgw4gimLv2eAKyk1NB
2022-06-27 18:15:18.478000-04:00,55fq75UfkYbGMq4CncCtOH,Metallica (Remastered),1991-08-12,331560,3VqHuw0wFlIHcIPWkhIbdQ,Enter Sandman (Remastered),75,2ye2Wgw4gimLv2eAKyk1NB,Metallica,0.566,0.834,6,-8.412,0,0.0298,0.00277,0.008,0.0625,0.621,123.296,4,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",79,21590412,202206271815183VqHuw0wFlIHcIPWkhIbdQ,202206271815183VqHuw0wFlIHcIPWkhIbdQ2ye2Wgw4gimLv2eAKyk1NB
