playedAt,albumID,albumName,albumReleaseDate,durationMs,trackID,trackName,trackPopularity,artistID,artistName,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genres,artistPopularity,followers,trackHashID,hashID
2022-07-06 08:03:57.269000-04:00,6pZj4nvx6lV3ulIK3BSjvs,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,97413,3ZJnc1eGicPxRitBoC7eWZ,An Innocent Warrior,61,4I9DOo7pz3fn9yjxTktmX9,Vai Mahina,0.283,0.203,2,-11.228,1,0.0342,0.909,0.000661,0.11,0.18,84.656,4,['movie tunes'],50,2182,202207060803573ZJnc1eGicPxRitBoC7eWZ,202207060803573ZJnc1eGicPxRitBoC7eWZ4I9DOo7pz3fn9yjxTktmX9
2022-07-06 08:03:57.269000-04:00,6pZj4nvx6lV3ulIK3BSjvs,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,97413,3ZJnc1eGicPxRitBoC7eWZ,An Innocent Warrior,61,5jJBMnM3wotWAKrVBdzFRi,Sulata Foai-Amiatu,0.283,0.203,2,-11.228,1,0.0342,0.909,0.000661,0.11,0.18,84.656,4,[],44,200,202207060803573ZJnc1eGicPxRitBoC7eWZ,202207060803573ZJnc1eGicPxRitBoC7eWZ5jJBMnM3wotWAKrVBdzFRi
2022-07-06 08:03:57.269000-04:00,6pZj4nvx6lV3ulIK3BSjvs,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,97413,3ZJnc1eGicPxRitBoC7eWZ,An Innocent Warrior,61,31tOVgwE9y1Kuz7qcWaLJD,Matthew Ineleo,0.283,0.203,2,-11.228,1,0.0342,0.909,0.000661,0.11,0.18,84.656,4,[],50,203,202207060803573ZJnc1eGicPxRitBoC7eWZ,202207060803573ZJnc1eGicPxRitBoC7eWZ31tOVgwE9y1Kuz7qcWaLJD
2022-07-06 08:02:19.137000-04:00,6pZj4nvx6lV3ulIK3BSjvs,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,51933,6FHUBs8P5qcjpj7C2QHdEq,Tulou Tagaloa,60,5GIaRpKCtzquc5UUicqe50,Olivia Foa'i,0.271,0.405,2,-10.839,1,0.0379,0.337,0.123,0.165,0.188,109.041,5,['show tunes'],52,6909,202207060802196FHUBs8P5qcjpj7C2QHdEq,202207060802196FHUBs8P5qcjpj7C2QHdEq5GIaRpKCtzquc5UUicqe50
2022-07-05 07:05:36.401000-04:00,6pZj4nvx6lV3ulIK3BSjvs,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,130173,29GNq0bPjVrqpISQGwj8Yx,Logo Te Pate,60,5GIaRpKCtzquc5UUicqe50,Olivia Foa'i,0.73,0.804,11,-7.183,1,0.0636,0.27,5.45e-05,0.0699,0.897,137.899,4,['show tunes'],52,6909,2022070507053629GNq0bPjVrqpISQGwj8Yx,2022070507053629GNq0bPjVrqpISQGwj8Yx5GIaRpKCtzquc5UUicqe50
2022-07-05 18:00:26.074000-04:00,55RhFRyQFihIyGf61MgcfV,Mellon Collie And The Infinite Sadness (Deluxe Edition),1995,254626,7bu0znpSbTks0O6I98ij0W,"Tonight, Tonight - Remastered 2012",68,40Yq4vzPs9VNUrIBG5Jr2i,The Smashing Pumpkins,0.277,0.67,6,-9.381,1,0.0376,6.28e-05,0.751,0.237,0.217,148.342,4,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'pop rock', 'rock', 'spacegrunge']",69,3977430,202207051800267bu0znpSbTks0O6I98ij0W,202207051800267bu0znpSbTks0O6I98ij0W40Yq4vzPs9VNUrIBG5Jr2i
2022-07-05 17:48:10.100000-04:00,29sTacnS0qA9xri6YS8xLA,Superunknown (Deluxe Edition),1994-03-09,318586,2EoOZnxNgtmZaD8uUmz2nD,Black Hole Sun,77,5xUf6j4upBrXZPg6AI4MRK,Soundgarden,0.35,0.828,6,-5.373,1,0.041,0.000217,0.000161,0.0774,0.147,105.435,4,"['alternative metal', 'alternative rock', 'grunge', 'hard rock', 'nu metal', 'rock']",65,3592108,202207051748102EoOZnxNgtmZaD8uUmz2nD,202207051748102EoOZnxNgtmZaD8uUmz2nD5xUf6j4upBrXZPg6AI4MRK
2022-07-05 17:42:50.594000-04:00,4Au1NRTNzdr2GUEUCNctii,One Way Or Another,1979,212706,5Th6EdNVhxp0TPX41ZLZk6,One Way Or Another - Remastered,60,4tpUmLEVLCGFr93o8hFFIB,Blondie,0.45,0.877,9,-6.403,1,0.0532,0.0118,4.95e-05,0.0699,0.896,162.477,4,"['candy pop', 'new wave', 'new wave pop', 'permanent wave', 'power pop', 'rock']",67,1118057,202207051742505Th6EdNVhxp0TPX41ZLZk6,202207051742505Th6EdNVhxp0TPX41ZLZk64tpUmLEVLCGFr93o8hFFIB
2022-07-05 17:39:17.187000-04:00,5iYYQwB0oH9FVyVlaOXZdr,Goo,1990-01-01,246333,1ZozGivTAYsOwhy6LVHsPX,Kool Thing,61,5UqTO8smerMvxHYA5xsXb6,Sonic Youth,0.262,0.82,7,-11.621,1,0.0428,0.0103,0.0914,0.101,0.254,155.197,4,"['alternative rock', 'art rock', 'indie rock', 'new wave', 'noise pop', 'noise rock', 'post-punk', 'rock']",58,914661,202207051739171ZozGivTAYsOwhy6LVHsPX,202207051739171ZozGivTAYsOwhy6LVHsPX5UqTO8smerMvxHYA5xsXb6
2022-07-05 17:35:09.808000-04:00,4tPRXghD4ago6NYyyfrtES,Music for the Masses (2006 Remaster),1987-09-28,290493,2H1BmB1b6Px9KJXIUpD03u,Never Let Me Down Again - 2006 Remaster,57,762310PdDnwsDxAQxzQkfX,Depeche Mode,0.581,0.886,0,-6.505,1,0.0324,0.279,0.0297,0.691,0.586,106.067,4,"['dance rock', 'new romantic', 'new wave', 'permanent wave', 'synthpop']",71,4771220,202207051735092H1BmB1b6Px9KJXIUpD03u,202207051735092H1BmB1b6Px9KJXIUpD03u762310PdDnwsDxAQxzQkfX
